oldID,newID
duravent-directvent-pro-18-inch-pipe-length-black-direct-vent-pipe-for-gas-fireplaces-gas-stoves-46d,46dva-18b
duravent-directvent-pro-18-inch-pipe-length-black-direct-vent-pipe-for-gas-fireplaces-gas-stoves-58d,58dva-18b
duravent-directvent-pro-18-inch-pipe-length-galvanized-direct-vent-pipe-for-gas-fireplaces-gas-stove,46dva-18
duravent-directvent-pro-24-inch-pipe-length-black-direct-vent-pipe-for-gas-fireplaces-gas-stoves-46d,46dva-24b
duravent-directvent-pro-24-inch-pipe-length-black-direct-vent-pipe-for-gas-fireplaces-gas-stoves-58d,58dva-24b
duravent-directvent-pro-24-inch-pipe-length-galvanized-direct-vent-pipe-for-gas-fireplaces-gas-stove,46dva-24
duravent-directvent-pro-3-4-inch-co-linear-adapter-direct-vent-pipe-for-gas-fireplaces-gas-stoves-46,46dva-ct
duravent-directvent-pro-3-inch-3-inch-aluminum-flex-liner-with-high-winds-cap-25-ft-length-direct-ve,46dva-cl33-25
duravent-directvent-pro-3-inch-3-inch-aluminum-flex-liner-with-high-winds-cap-direct-vent-pipe-for-g,46dva-cl33
duravent-directvent-pro-36-inch-pipe-length-black-direct-vent-pipe-for-gas-fireplaces-gas-stoves-46d,46dva-36b
duravent-directvent-pro-36-inch-pipe-length-black-direct-vent-pipe-for-gas-fireplaces-gas-stoves-58d,58dva-36b
duravent-directvent-pro-36-inch-pipe-length-galvanized-direct-vent-pipe-for-gas-fireplaces-gas-stove,46dva-36
duravent-directvent-pro-36-inch-snorkel-cap-direct-vent-pipe-for-gas-fireplaces-gas-stoves-58dva-snk,58dva-snk36
duravent-directvent-pro-36-inch-snorkel-termination-cap-direct-vent-pipe-for-gas-fireplaces-gas-stov,46dva-snk36
duravent-directvent-pro-48-inch-pipe-length-black-direct-vent-pipe-for-gas-fireplaces-gas-stoves-46d,46dva-48b
duravent-directvent-pro-48-inch-pipe-length-black-direct-vent-pipe-for-gas-fireplaces-gas-stoves-58d,58dva-48b
duravent-directvent-pro-48-inch-pipe-length-galvanized-direct-vent-pipe-for-gas-fireplaces-gas-stove,46dva-48
